method: expEuler
test: test1
0.184 -0.221422 0.0691518 
0.185 -0.22286 0.0688185 
0.186 -0.224301 0.0684766 
0.187 -0.225745 0.0681261 
0.188 -0.227192 0.067767 
0.189 -0.228642 0.0673992 
0.19 -0.230094 0.0670228 
0.191 -0.23155 0.0666378 
0.192 -0.233009 0.066244 
0.193 -0.23447 0.0658416 
0.194 -0.235935 0.0654304 
0.195 -0.237403 0.0650106 
0.196 -0.238873 0.0645819 
0.197 -0.240347 0.0641445 
0.198 -0.241823 0.0636983 
0.199 -0.243303 0.0632433 
0.2 -0.244786 0.0627795 
0.201 -0.246271 0.0623068 
0.202 -0.24776 0.0618253 
0.203 -0.249252 0.0613349 
0.204 -0.250746 0.0608357 
0.205 -0.252244 0.0603275 
0.206 -0.253745 0.0598104 
0.207 -0.255249 0.0592843 
0.208 -0.256756 0.0587493 
0.209 -0.258266 0.0582054 
0.21 -0.259779 0.0576524 
0.211 -0.261295 0.0570904 
0.212 -0.262815 0.0565193 
0.213 -0.264337 0.0559393 
0.214 -0.265863 0.0553501 
0.215 -0.267391 0.0547519 
0.216 -0.268923 0.0541445 
0.217 -0.270458 0.0535281 
0.218 -0.271996 0.0529024 
0.219 -0.273537 0.0522677 
0.22 -0.275082 0.0516237 
0.221 -0.276629 0.0509706 
0.222 -0.27818 0.0503082 
0.223 -0.279733 0.0496366 
0.224 -0.281291 0.0489557 
0.225 -0.282851 0.0482656 
0.226 -0.284414 0.0475661 
0.227 -0.285981 0.0468574 
0.228 -0.28755 0.0461393 
0.229 -0.289123 0.0454119 
0.23 -0.2907 0.0446751 
0.231 -0.292279 0.0439289 
0.232 -0.293862 0.0431733 
0.233 -0.295447 0.0424082 
0.234 -0.297037 0.0416338 
0.235 -0.298629 0.0408498 
0.236 -0.300224 0.0400564 
0.237 -0.301823 0.0392534 
0.238 -0.303425 0.0384409 
0.239 -0.305031 0.0376189 
0.24 -0.306639 0.0367873 
0.241 -0.308251 0.0359461 
0.242 -0.309867 0.0350953 
0.243 -0.311485 0.0342349 
0.244 -0.313107 0.0333648 
0.245 -0.314732 0.032485 
0.246 -0.31636 0.0315956 
0.247 -0.317992 0.0306964 
0.248 -0.319627 0.0297875 
0.249 -0.321266 0.0288689 
0.25 -0.322907 0.0279405 
0.251 -0.324552 0.0270022 
0.252 -0.326201 0.0260542 
0.253 -0.327852 0.0250963 
0.254 -0.329507 0.0241286 
0.255 -0.331166 0.0231509 
0.256 -0.332828 0.0221634 
0.257 -0.334493 0.021166 
0.258 -0.336161 0.0201586 
0.259 -0.337833 0.0191412 
0.26 -0.339509 0.0181138 
0.261 -0.341187 0.0170764 
0.262 -0.342869 0.016029 
0.263 -0.344555 0.0149715 
0.264 -0.346244 0.013904 
0.265 -0.347936 0.0128263 
0.266 -0.349632 0.0117386 
0.267 -0.351331 0.0106406 
0.268 -0.353033 0.00953253 
0.269 -0.354739 0.00841424 
0.27 -0.356449 0.00728574 
0.271 -0.358162 0.00614699 
0.272 -0.359878 0.00499798 
0.273 -0.361598 0.00383869 
0.274 -0.363321 0.00266909 
0.275 -0.365047 0.00148916 
0.276 -0.366778 0.000298872 
0.277 -0.368511 -0.000901794 
0.278 -0.370248 -0.00211286 
0.279 -0.371989 -0.00333435 
0.28 -0.373733 -0.0045663 
0.281 -0.37548 -0.00580871 
0.282 -0.377231 -0.00706163 
0.283 -0.378985 -0.00832506 
0.284 -0.380743 -0.00959904 
0.285 -0.382505 -0.0108836 
0.286 -0.38427 -0.0121787 
0.287 -0.386038 -0.0134845 
0.288 -0.38781 -0.0148009 
0.289 -0.389585 -0.016128 
0.29 -0.391364 -0.0174658 
0.291 -0.393147 -0.0188143 
0.292 -0.394932 -0.0201735 
0.293 -0.396722 -0.0215435 
0.294 -0.398515 -0.0229243 
0.295 -0.400311 -0.0243159 
0.296 -0.402111 -0.0257184 
0.297 -0.403915 -0.0271317 
0.298 -0.405722 -0.0285559 
0.299 -0.407533 -0.0299911 
0.3 -0.409347 -0.0314372 
0.301 -0.411165 -0.0328942 
0.302 -0.412986 -0.0343623 
0.303 -0.414811 -0.0358414 
0.304 -0.416639 -0.0373315 
0.305 -0.418471 -0.0388328 
0.306 -0.420306 -0.0403451 
0.307 -0.422145 -0.0418686 
0.308 -0.423988 -0.0434032 
0.309 -0.425834 -0.044949 
0.31 -0.427684 -0.046506 
0.311 -0.429537 -0.0480743 
0.312 -0.431394 -0.0496538 
0.313 -0.433254 -0.0512447 
0.314 -0.435118 -0.0528468 
0.315 -0.436985 -0.0544603 
0.316 -0.438856 -0.0560852 
0.317 -0.440731 -0.0577215 
0.318 -0.442609 -0.0593692 
0.319 -0.444491 -0.0610284 
0.32 -0.446376 -0.062699 
0.321 -0.448265 -0.0643812 
0.322 -0.450157 -0.0660749 
0.323 -0.452053 -0.0677803 
0.324 -0.453952 -0.0694972 
0.325 -0.455856 -0.0712257 
0.326 -0.457762 -0.0729659 
0.327 -0.459672 -0.0747178 
0.328 -0.461586 -0.0764814 
0.329 -0.463503 -0.0782568 
0.33 -0.465424 -0.0800439 
0.331 -0.467349 -0.0818429 
0.332 -0.469277 -0.0836537 
0.333 -0.471208 -0.0854763 
0.334 -0.473143 -0.0873109 
0.335 -0.475082 -0.0891574 
0.336 -0.477024 -0.0910158 
0.337 -0.47897 -0.0928863 
0.338 -0.480919 -0.0947687 
0.339 -0.482872 -0.0966632 
0.34 -0.484829 -0.0985698 
0.341 -0.486789 -0.100488 
0.342 -0.488752 -0.102419 
0.343 -0.490719 -0.104362 
0.344 -0.49269 -0.106318 
0.345 -0.494664 -0.108285 
0.346 -0.496641 -0.110265 
0.347 -0.498622 -0.112257 
0.348 -0.500607 -0.114261 
0.349 -0.502595 -0.116278 
0.35 -0.504587 -0.118307 
0.351 -0.506582 -0.120348 
0.352 -0.508581 -0.122402 
0.353 -0.510583 -0.124469 
0.354 -0.512589 -0.126548 
0.355 -0.514598 -0.128639 
0.356 -0.51661 -0.130743 
0.357 -0.518627 -0.13286 
0.358 -0.520646 -0.13499 
0.359 -0.522669 -0.137132 
0.36 -0.524696 -0.139287 
0.361 -0.526726 -0.141454 
0.362 -0.528759 -0.143634 
0.363 -0.530796 -0.145828 
0.364 -0.532836 -0.148034 
0.365 -0.53488 -0.150253 
0.366 -0.536927 -0.152484 
0.367 -0.538978 -0.154729 
0.368 -0.541032 -0.156987 
